Entity,Code,Year,Same sex marriage and civil unions legal
Madagascar,MDG,2019,Same-sex marriage not legally recognized
Malawi,MWI,2019,Same-sex marriage not legally recognized
Malaysia,MYS,2019,Same-sex marriage not legally recognized
Maldives,MDV,2019,Same-sex marriage not legally recognized
Mali,MLI,2019,Same-sex marriage not legally recognized
Malta,MLT,2017,Same-sex marriage legal
Marshall Islands,MHL,2019,Same-sex marriage not legally recognized
Mauritania,MRT,2019,Same-sex marriage not legally recognized
Mauritius,MUS,2019,Same-sex marriage not legally recognized
Mexico,MEX,2009,Same-sex marriage legal in some jurisdictions
Micronesia (country),FSM,2019,Same-sex marriage not legally recognized
Moldova,MDA,2019,Same-sex marriage not legally recognized
Monaco,MCO,2019,Same-sex marriage not legally recognized
Mongolia,MNG,2019,Same-sex marriage not legally recognized
Montenegro,MNE,2019,Same-sex marriage not legally recognized
Morocco,MAR,2019,Same-sex marriage not legally recognized
Mozambique,MOZ,2019,Same-sex marriage not legally recognized
Myanmar,MMR,2019,Same-sex marriage not legally recognized
Namibia,NAM,2019,Same-sex marriage not legally recognized
Nauru,NRU,2019,Same-sex marriage not legally recognized
Nepal,NPL,2019,Same-sex marriage not legally recognized
Netherlands,NLD,2000,Same-sex marriage legal
New Caledonia,NCL,2019,Same-sex marriage not legally recognized
New Zealand,NZL,2013,Same-sex marriage legal
Nicaragua,NIC,2019,Same-sex marriage not legally recognized
Niger,NER,2019,Same-sex marriage not legally recognized
Nigeria,NGA,2019,Same-sex marriage not legally recognized
North Korea,PRK,2019,Same-sex marriage not legally recognized
North Macedonia,MKD,2019,Same-sex marriage not legally recognized
Northern Ireland,,2019,Same-sex marriage legal
Northern Mariana Islands,MNP,2019,Same-sex marriage not legally recognized
Norway,NOR,2008,Same-sex marriage legal
Oman,OMN,2019,Same-sex marriage not legally recognized
Pakistan,PAK,2019,Same-sex marriage not legally recognized
Palau,PLW,2019,Same-sex marriage not legally recognized
Palestine,PSE,2019,Same-sex marriage not legally recognized
Panama,PAN,2019,Same-sex marriage not legally recognized
Papua New Guinea,PNG,2019,Same-sex marriage not legally recognized
Paraguay,PRY,2019,Same-sex marriage not legally recognized
Peru,PER,2019,Same-sex marriage not legally recognized
Philippines,PHL,2019,Same-sex marriage not legally recognized
Poland,POL,2019,Same-sex marriage not legally recognized
Portugal,PRT,2010,Same-sex marriage legal
Puerto Rico,PRI,2019,Same-sex marriage not legally recognized
Qatar,QAT,2019,Same-sex marriage not legally recognized
Romania,ROU,2019,Same-sex marriage not legally recognized
Russia,RUS,2019,Same-sex marriage not legally recognized
Rwanda,RWA,2019,Same-sex marriage not legally recognized
Saint Kitts and Nevis,KNA,2019,Same-sex marriage not legally recognized
Saint Lucia,LCA,2019,Same-sex marriage not legally recognized
Saint Martin (French part),MAF,2019,Same-sex marriage not legally recognized
Saint Vincent and the Grenadines,VCT,2019,Same-sex marriage not legally recognized
Samoa,WSM,2019,Same-sex marriage not legally recognized
San Marino,SMR,2019,Same-sex marriage not legally recognized
Sao Tome and Principe,STP,2019,Same-sex marriage not legally recognized
Saudi Arabia,SAU,2019,Same-sex marriage not legally recognized
Scotland,,2014,Same-sex marriage legal
Senegal,SEN,2019,Same-sex marriage not legally recognized
Serbia,SRB,2019,Same-sex marriage not legally recognized
Seychelles,SYC,2019,Same-sex marriage not legally recognized
Sierra Leone,SLE,2019,Same-sex marriage not legally recognized
Singapore,SGP,2019,Same-sex marriage not legally recognized
Sint Maarten (Dutch part),SXM,2019,Same-sex marriage not legally recognized
Slovakia,SVK,2019,Same-sex marriage not legally recognized
Slovenia,SVN,2006,Some rights to same-sex couples
Solomon Islands,SLB,2019,Same-sex marriage not legally recognized
Somalia,SOM,2019,Same-sex marriage not legally recognized
South Africa,ZAF,2006,Same-sex marriage legal
South Korea,KOR,2019,Same-sex marriage not legally recognized
South Sudan,SSD,2019,Same-sex marriage not legally recognized
Spain,ESP,2005,Same-sex marriage legal
Sri Lanka,LKA,2019,Same-sex marriage not legally recognized
Sudan,SDN,2019,Same-sex marriage not legally recognized
Suriname,SUR,2019,Same-sex marriage not legally recognized
Sweden,SWE,2009,Same-sex marriage legal
Switzerland,CHE,2007,Some rights to same-sex couples
Syria,SYR,2019,Same-sex marriage not legally recognized
Taiwan,TWN,2019,Same-sex marriage legal
Tajikistan,TJK,2019,Same-sex marriage not legally recognized
Tanzania,TZA,2019,Same-sex marriage not legally recognized
Thailand,THA,2019,Same-sex marriage not legally recognized
Timor,TLS,2019,Same-sex marriage not legally recognized
Togo,TGO,2019,Same-sex marriage not legally recognized
Tonga,TON,2019,Same-sex marriage not legally recognized
Trinidad and Tobago,TTO,2019,Same-sex marriage not legally recognized
Tunisia,TUN,2019,Same-sex marriage not legally recognized
Turkey,TUR,2019,Same-sex marriage not legally recognized
Turkmenistan,TKM,2019,Same-sex marriage not legally recognized
Turks and Caicos Islands,TCA,2019,Same-sex marriage not legally recognized
Tuvalu,TUV,2019,Same-sex marriage not legally recognized
Uganda,UGA,2019,Same-sex marriage not legally recognized
Ukraine,UKR,2019,Same-sex marriage not legally recognized
United Arab Emirates,ARE,2019,Same-sex marriage not legally recognized
United Kingdom,GBR,2013,Same-sex marriage legal
United States,USA,2015,Same-sex marriage legal
United States Virgin Islands,VIR,2019,Same-sex marriage not legally recognized
Uruguay,URY,2013,Same-sex marriage legal
Uzbekistan,UZB,2019,Same-sex marriage not legally recognized
Vanuatu,VUT,2019,Same-sex marriage not legally recognized
Venezuela,VEN,2019,Same-sex marriage not legally recognized
Vietnam,VNM,2019,Same-sex marriage not legally recognized
West Bank,,2019,Same-sex marriage not legally recognized
Western Sahara,ESH,2019,Same-sex marriage not legally recognized
Yemen,YEM,2019,Same-sex marriage not legally recognized
Zambia,ZMB,2019,Same-sex marriage not legally recognized
Zimbabwe,ZWE,2019,Same-sex marriage not legally recognized
