"genero","ano","pop_adulta","uf"
"Mulher",2016,1377027,"RN"
"Mulher",2017,1395535,"RN"
"Mulher",2018,1413582,"RN"
"Mulher",2019,1431108,"RN"
"Homem",2013,622528,"RO"
"Homem",2014,634116,"RO"
"Homem",2015,645398,"RO"
"Homem",2016,657117,"RO"
"Homem",2017,667898,"RO"
"Homem",2018,677846,"RO"
"Homem",2019,687404,"RO"
"Mulher",2013,604971,"RO"
"Mulher",2014,617481,"RO"
"Mulher",2015,629741,"RO"
"Mulher",2016,642485,"RO"
"Mulher",2017,654330,"RO"
"Mulher",2018,665384,"RO"
"Mulher",2019,676066,"RO"
"Homem",2013,170068,"RR"
"Homem",2014,175221,"RR"
"Homem",2015,180579,"RR"
"Homem",2016,186611,"RR"
"Homem",2017,197144,"RR"
"Homem",2018,212649,"RR"
"Homem",2019,227863,"RR"
"Mulher",2013,166383,"RR"
"Mulher",2014,171733,"RR"
"Mulher",2015,177133,"RR"
"Mulher",2016,182849,"RR"
"Mulher",2017,191012,"RR"
"Mulher",2018,201985,"RR"
"Mulher",2019,212883,"RR"
"Homem",2013,4260224,"RS"
"Homem",2014,4302095,"RS"
"Homem",2015,4341273,"RS"
"Homem",2016,4379869,"RS"
"Homem",2017,4412316,"RS"
"Homem",2018,4441054,"RS"
"Homem",2019,4468846,"RS"
"Mulher",2013,4599431,"RS"
"Mulher",2014,4643985,"RS"
"Mulher",2015,4685652,"RS"
"Mulher",2016,4726273,"RS"
"Mulher",2017,4760907,"RS"
"Mulher",2018,4791901,"RS"
"Mulher",2019,4821890,"RS"
"Homem",2013,2590119,"SC"
"Homem",2014,2638565,"SC"
"Homem",2015,2684576,"SC"
"Homem",2016,2727980,"SC"
"Homem",2017,2768380,"SC"
"Homem",2018,2807204,"SC"
"Homem",2019,2845696,"SC"
"Mulher",2013,2669162,"SC"
"Mulher",2014,2718514,"SC"
"Mulher",2015,2765534,"SC"
"Mulher",2016,2809983,"SC"
"Mulher",2017,2851571,"SC"
"Mulher",2018,2891671,"SC"
"Mulher",2019,2931464,"SC"
"Homem",2013,773617,"SE"
"Homem",2014,787222,"SE"
"Homem",2015,799990,"SE"
"Homem",2016,812097,"SE"
"Homem",2017,822914,"SE"
"Homem",2018,833423,"SE"
"Homem",2019,843619,"SE"
"Mulher",2013,848828,"SE"
