ano,genero,uf,numero,pop_adulta,tx_pop
2015,Feminino,RO,11,629741,1.7467498543051827
2014,Feminino,MT,11,1212271,0.9073878695440211
2015,Feminino,MT,11,1234474,0.8910677746149371
2018,Feminino,TO,11,581958,1.890170768337234
2016,Masculino,SE,11,812097,1.3545179947715607
2019,Feminino,RR,11,212883,5.167157546633597
2017,Feminino,SE,11,907338,1.212337629417042
2017,Masculino,AL,10,1166019,0.8576189581816419
2017,Masculino,MA,10,2472080,0.4045176531503835
2013,Feminino,MA,10,2467530,0.40526356315830003
2016,Feminino,SE,10,894096,1.1184481308494836
2017,Feminino,RO,10,654330,1.5282808368865861
2014,Masculino,TO,10,548549,1.8229912004214757
2014,Feminino,RO,10,617481,1.6194830286276016
2015,Feminino,PI,9,1271809,0.707653429091947
2019,Feminino,AC,9,313775,2.868297346824954
2019,Masculino,TO,8,595765,1.3428113433988234
2014,Masculino,RO,8,634116,1.2615988241898959
2016,Masculino,RO,8,657117,1.2174392079340515
2015,Masculino,PI,7,1173622,0.5964441702694735
2017,Feminino,TO,7,571438,1.2249797878335007
2015,Masculino,RO,7,645398,1.084602059504368
2015,Masculino,SE,7,799990,0.8750109376367206
2016,Masculino,PI,7,1184430,0.5910015788185033
2018,Feminino,AP,7,295980,2.365024663828637
2017,Feminino,AP,7,287512,2.4346809872283592
2016,Feminino,TO,7,560945,1.247894178573657
2018,Masculino,TO,7,586706,1.1931018261275665
2019,Masculino,RR,7,227863,3.0720213461597536
2013,Masculino,PI,7,1152794,0.6072203706820126
2018,Masculino,AC,6,301758,1.9883482790845644
2018,Masculino,RO,6,677846,0.8851568055280993
2013,Masculino,MA,6,2356256,0.25464126139095244
2017,Masculino,RR,6,197144,3.043460617619608
2015,Masculino,TO,6,558682,1.0739562040659982
2014,Feminino,AP,6,261712,2.292596441890322
2019,Masculino,AC,6,308791,1.9430618120346772
2015,Feminino,RR,6,177133,3.3872852602281904
2015,Feminino,AC,6,283484,2.1165215673547713
